date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:19:40	1128/1128	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2016%20Dec%202019%2016:20:35%20GMT	https://naturamoz.org.mz/robots.txt		(from )
18:19:40	28609/28609	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Dec%202019%2016:20:35%20GMT	https://naturamoz.org.mz/	E:/explicador/NaturaWebSite/naturamoz.org.mz/index.html	(from )
18:19:41	10462/10462	---M--	200	added ('OK')	image/x-icon	etag:%225dd796d0-28de%22	https://naturamoz.org.mz/static/home2/icons/favico-50x50.ico	E:/explicador/NaturaWebSite/naturamoz.org.mz/static/home2/icons/favico-50x50.ico	(from https://naturamoz.org.mz/)
18:19:41	4198/4198	---MCZ	200	added ('OK')	text/css	etag:W/%225db966ed-1066%22	https://naturamoz.org.mz/static/home2/css/owl.carousel.css	E:/explicador/NaturaWebSite/naturamoz.org.mz/static/home2/css/owl.carousel.css	(from https://naturamoz.org.mz/)
18:19:42	892/892	---MCZ	200	added ('OK')	text/css	etag:W/%225dc032d4-37c%22	https://naturamoz.org.mz/static/home2/css/barfiller.css	E:/explicador/NaturaWebSite/naturamoz.org.mz/static/home2/css/barfiller.css	(from https://naturamoz.org.mz/)
18:19:43	71742/71742	---MCZ	200	added ('OK')	text/css	etag:W/%225db966ed-1183e%22	https://naturamoz.org.mz/static/home2/css/animate.css	E:/explicador/NaturaWebSite/naturamoz.org.mz/static/home2/css/animate.css	(from https://naturamoz.org.mz/)
18:19:43	31004/31004	---MCZ	200	added ('OK')	text/css	etag:W/%225db966ed-791c%22	https://naturamoz.org.mz/static/home2/css/font-awesome.min.css	E:/explicador/NaturaWebSite/naturamoz.org.mz/static/home2/css/font-awesome.min.css	(from https://naturamoz.org.mz/)
18:19:45	124968/124968	---MCZ	200	added ('OK')	text/css	etag:W/%225db966ed-1e828%22	https://naturamoz.org.mz/static/home2/css/bootstrap.min.css	E:/explicador/NaturaWebSite/naturamoz.org.mz/static/home2/css/bootstrap.min.css	(from https://naturamoz.org.mz/)
18:19:45	2509/2509	---MCZ	200	added ('OK')	text/css	etag:W/%225db966ed-9cd%22	https://naturamoz.org.mz/static/home2/css/slicknav.css	E:/explicador/NaturaWebSite/naturamoz.org.mz/static/home2/css/slicknav.css	(from https://naturamoz.org.mz/)
18:19:47	35744/35744	---MCZ	200	added ('OK')	text/css	etag:W/%225ddbcaca-8ba0%22	https://naturamoz.org.mz/static/home2/css/main.css	E:/explicador/NaturaWebSite/naturamoz.org.mz/static/home2/css/main.css	(from https://naturamoz.org.mz/)
